Word,First,Second,Third,Fourth,Fifth,Synonyms,Antonyms,Choose the Right Synonym,Priorty
Belligerent,"inclined to or exhibiting assertiveness, hostility, or combativeness",feeling or showing readiness to fight,a nation at war,carrying on war,waging war,"aggressive, agonistic, argumentative, assaultive, bellicose, brawly, chippy, combative, confrontational, contentious, discordant, disputatious, feisty, gladiatorial, militant, pugnacious, quarrelsome, scrappy, truculent, warlike","nonaggressive, nonbelligerent, pacific, peaceable, peaceful, unbelligerent, uncombative, uncontentious","belligerent, bellicose, pugnacious, quarrelsome, contentious mean having an aggressive or fighting attitude

belligerent often implies being actually at war or engaged in hostilities
belligerent nations

bellicose suggests a disposition to fight
a drunk in a bellicose mood

pugnacious suggests a disposition that takes pleasure in personal combat
a pugnacious gangster

quarrelsome stresses an ill-natured readiness to fight without good cause
the heat made us all quarrelsome

contentious implies perverse and irritating fondness for arguing and quarreling
wearied by his contentious disposition",second
Bellowed,to make the loud deep hollow sound characteristic of a bull,to shout in a deep voice,to shout in a deep voice,to make a deep and loud sound,Oops! So Empty!,"boom, growl, roar, thunder","boom, growl, roar, thunder",Oops! So Empty!,third
Benign,of a mild type or character that does not threaten health or life,of a gentle disposition,showing kindness and gentleness,marked by gentleness and kindness,not causing death or serious harm,"anodyne, harmless, hurtless, innocent, innocuous, inoffensive, safe, white","adverse, bad, baleful, baneful, damaging, dangerous, deleterious, detrimental, evil, harmful, hurtful, ill, injurious, mischievous, nocuous, noxious, pernicious, prejudicial, wicked",Oops! So Empty!,third
Berate,to scold or condemn vehemently and at length,to scold in a loud and angry way,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"baste, bawl out, call down, castigate, chastise, chew out, dress down, flay, hammer, jaw, keelhaul, lambaste 
 (or lambast), lecture, rag, rail (at or against), rant (at), rate, ream (out), rebuke, reprimand, reproach, scold, score, tongue-lash, upbraid","baste, bawl out, call down, castigate, chastise, chew out, dress down, flay, hammer, jaw, keelhaul, lambaste 
 (or lambast), lecture, rag, rail (at or against), rant (at), rate, ream (out), rebuke, reprimand, reproach, scold, score, tongue-lash, upbraid","scold, upbraid, berate, rail, revile, vituperate mean to reproach angrily and abusively

scold implies rebuking in irritation or ill temper justly or unjustly
angrily scolding the children

upbraid implies censuring on definite and usually justifiable grounds
upbraided her assistants for poor research

berate suggests prolonged and often abusive scolding
berated continually by an overbearing boss

rail (at or against) stresses an unrestrained berating
railed loudly at their insolence

revile implies a scurrilous, abusive attack prompted by anger or hatred
an alleged killer reviled in the press

vituperate suggests a violent reviling
was vituperated for betraying his friends",third
Berserk,an ancient Scandinavian warrior frenzied in battle and held to be invulnerable,one whose actions are recklessly defiant,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third
Bestir,to rouse to action,to stir up,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third
Bevy,a large group or collection,a group of animals and especially quail,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third
Bewildered,deeply or utterly confused or perplexed,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"addle, addled, addlepated, bedeviled, befogged, befuddled, bemused, bushed 
[chiefly Australian], confounded, confused, dazed, distracted, dizzy, dopey 
 (also dopy), fogged, mixed-up, muddleheaded, muzzy, pixilated 
 (also pixillated), punch-drunk, punchy, raddled, shell-shocked, silly, slaphappy, spaced-out 
 (or spaced), spacey 
 (also spacy), stunned, stupefied, zonked, zonked-out",clearheaded,Oops! So Empty!,first
Bigots,a person who is obstinately or intolerantly devoted to his or her own opinions and prejudices,a person who hates or refuses to accept the members of a particular group,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"dogmatist, dogmatizer, partisan 
 (also partizan), sectarian","dogmatist, dogmatizer, partisan 
 (also partizan), sectarian",Oops! So Empty!,third
Bilious,of or relating to a yellow or greenish fluid that is secreted by the liver and that aids especially in the emulsification and absorption of fats,marked by or affected with disordered liver function and especially excessive secretion of bile,of or indicative of a peevish ill-natured disposition,of or relating to bile,sickeningly unpleasant,"acid, bearish, bloody-minded 
[chiefly British], cantankerous, disagreeable, dyspeptic, ill-humored, ill-natured, ill-tempered, ornery, splenetic, surly","amiable, good-humored, good-natured, good-tempered",Oops! So Empty!,third
Billow,a rolling mass (as of flame or smoke) that resembles a high wave,to bulge or swell out (as through action of the wind),to rise or roll in waves or surges,a large wave,wave,"surge, swell, wave","bag, balloon, beetle, belly, bulge, bunch, jut, overhang, poke, pooch 
[chiefly dialect], pouch, pout, project, protrude, stand out, start, stick out, swell",Oops! So Empty!,second
Bitter,"being, inducing, or marked by the one of the five basic taste sensations that is peculiarly acrid, astringent, and often disagreeable and characteristic of citrus peels, unsweetened cocoa, black coffee, mature leafy greens (such as kale or mustard), or ale","caused by or expressive of severe pain, grief, or regret",marked by intensity or severity,bitter quality,Oops! So Empty!,"acrid, acrimonious, embittered, hard, rancorous, resentful, sore",unbitter,Oops! So Empty!,first
Blatant,noisy especially in a vulgar or offensive manner,"completely obvious, conspicuous, or obtrusive especially in a crass or offensive manner",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"caterwauling, clamant, clamorous, obstreperous, squawking, vociferant, vociferating, vociferous, yawping 
 (or yauping), yowling","caterwauling, clamant, clamorous, obstreperous, squawking, vociferant, vociferating, vociferous, yawping 
 (or yauping), yowling","vociferous, clamorous, blatant, strident, boisterous, obstreperous mean so loud or insistent as to compel attention

vociferous implies a vehement shouting or calling out
vociferous cries of protest and outrage

clamorous may imply insistency as well as vociferousness in demanding or protesting
clamorous demands for prison reforms

blatant implies an offensive bellowing or insensitive loudness
blatant rock music

a blatant clamor for impeachment
strident suggests harsh and discordant noise

heard the strident cry of the crow
boisterous suggests a noisiness and turbulence due to high spirits

a boisterous crowd of party goers
obstreperous suggests unruly and aggressive noisiness and resistance to restraint

the obstreperous demonstrators were arrested",first
Bleak,exposed and barren and often windswept,"lacking in warmth, life, or kindliness",being cold and raw or cheerless,open to wind or weather,"cold, raw","black, cheerless, chill, Cimmerian, cloudy, cold, comfortless, dark, darkening, depressing, depressive, desolate, dire, disconsolate, dismal, drear, dreary, dreich 
[chiefly Scottish], elegiac 
 (also elegiacal), forlorn, funereal, gloomy, glum, godforsaken, gray 
 (also grey), lonely, lonesome, lugubrious, miserable, morbid, morose, murky, plutonian, saturnine, sepulchral, solemn, somber 
 (or sombre), sullen, sunless, tenebrific, tenebrous, wretched","bright, cheerful, cheering, cheery, comforting, cordial, festive, friendly, gay, heartwarming, sunshiny","dismal, dreary, bleak, gloomy, cheerless, desolate mean devoid of cheer or comfort

dismal indicates extreme and utterly depressing gloominess
dismal weather

dreary, often interchangeable with dismal, emphasizes discouragement resulting from sustained dullness or futility
a dreary job

bleak suggests chill, dull, and barren characteristics that utterly dishearten
the bleak years of the depression

gloomy often suggests lack of hope or promise
gloomy war news

cheerless stresses absence of anything cheering
a drab and cheerless office

desolate adds an element of utter remoteness or lack of human contact to any already disheartening aspect
a desolate outpost",third
Bleared,to make (the eyes) sore or watery,obscure to the view or imagination,dim with water or tears,"dim, blur",Oops! So Empty!,"becloud, bedim, befog, blacken, blur, cloud, darken, dim, dislimn, fog, fuzz (up), haze, mist, obscure, overcast, overcloud, overshadow, shadow, shroud","clear, definite, pellucid",Oops! So Empty!,second
Blight,something that frustrates plans or hopes,something that impairs or destroys,a deteriorated condition,"to affect (a plant) with a disease or injury marked by the formation of lesions, withering, and death of parts (such as leaves and tubers)",to impair the quality or effect of,"blemish, blotch, defect, deformity, disfigurement, excrescence, excrescency, fault, flaw, imperfection, mar, mark, pockmark, scar","blemish, blotch, defect, deformity, disfigurement, excrescence, excrescency, fault, flaw, imperfection, mar, mark, pockmark, scar",Oops! So Empty!,third
Bonnet,a man's or boy's cap,an automobile hood,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,first
Borne,transported or transmitted by,carried by,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,first
Bourne,"boundary, limit","goal, destination",Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"aim, ambition, aspiration, design, dream, end, goal, idea, ideal, intent, intention, mark, meaning, object, objective, plan, point, pretension, purpose, target, thing","aim, ambition, aspiration, design, dream, end, goal, idea, ideal, intent, intention, mark, meaning, object, objective, plan, point, pretension, purpose, target, thing",Oops! So Empty!,second
