,Word,First,Second,Third,Fourth,Fifth,Synonyms,Antonyms,Choose the Right Synonym,Priorty,Choose the Right Synonym Final
48,Carousel,a tournament or exhibition in which horsemen execute evolutions,merry-go-round,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third,Oops! So Empty!
49,Cartomancy,fortune-telling by means of playing cards,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,first,Oops! So Empty!
50,Cavorting,to leap or dance about in a lively manner,to engage in extravagant behavior,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"caper, disport, frisk, frolic, gambol, lark, rollick, romp, sport","caper, disport, frisk, frolic, gambol, lark, rollick, romp, sport",Oops! So Empty!,first,Oops! So Empty!
51,Ceded,to transfer (all or part of one's liability as an insurer under an insurance policy) by reinsurance to another insurer,to yield or grant typically by treaty,to yield or grant usually by treaty,"assign, transfer",Oops! So Empty!,"cough up, deliver, give up, hand over, lay down, relinquish, render, surrender, turn in, turn over, yield","cough up, deliver, give up, hand over, lay down, relinquish, render, surrender, turn in, turn over, yield",Oops! So Empty!,third,Oops! So Empty!
52,Cerebral,of or relating to the brain or the intellect,appealing to intellectual appreciation,of or relating to the brain or mind,"of, relating to, or affecting the cerebrum",of or relating to the brain or the intellect,"blue, eggheaded, geeky, highbrow, highbrowed, intellectual, intellectualist, intellectualistic, long-haired 
 (or longhair), nerdish, nerdy","anti-intellectual, lowbrow, nonintellectual, philistine",Oops! So Empty!,third,Oops! So Empty!
53,Cessation,a temporary or final ceasing (as of action),a coming to a stop,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"arrest, arrestment, cease, check, close, closedown, closure, conclusion, cutoff, discontinuance, discontinuation, end, ending, expiration, finish, halt, lapse, offset, shutdown, shutoff, stay, stop, stoppage, surcease, termination","continuance, continuation",Oops! So Empty!,second,Oops! So Empty!
54,Chaste,severely simple in design or execution,innocent of unlawful sexual intercourse,pure in thought and act,celibate,Oops! So Empty!,"clean, decent, G-rated, immaculate, modest, pure, vestal, virgin, virginal","coarse, dirty, filthy, immodest, impure, indecent, obscene, smutty, unchaste, unclean, vulgar","chaste, pure, modest, decent mean free from all taint of what is lewd or salacious

chaste primarily implies a refraining from acts or even thoughts or desires that are not virginal or not sanctioned by marriage vows
they maintained chaste relations

pure differs from chaste in implying innocence and absence of temptation rather than control of one's impulses and actions
the pure of heart

modest and decent apply especially to deportment and dress as outward signs of inward chastity or purity
preferred more modest swimsuits

decent people didn't go to such movies",third,"chaste, pure, modest, decent mean free from all taint of what is lewd or salacious<br><br>chaste primarily implies a refraining from acts or even thoughts or desires that are not virginal or not sanctioned by marriage vows<br>they maintained chaste relations<br><br>pure differs from chaste in implying innocence and absence of temptation rather than control of one's impulses and actions<br>the pure of heart<br><br>modest and decent apply especially to deportment and dress as outward signs of inward chastity or purity<br>preferred more modest swimsuits<br><br>decent people didn't go to such movies"
55,Chattel,an item of tangible movable or immovable property except real estate and things (such as buildings) connected with real property,an enslaved person held as the legal property of another,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"bondman 
 (also bondsman), slave, thrall",freeman,Oops! So Empty!,third,Oops! So Empty!
56,Chiding,to speak out in angry or displeased rebuke,to voice disapproval to,to express mild disapproval of (someone),to scold gently,Oops! So Empty!,"admonish, rebuke, reprimand, reproach, reprove, tick off","admonish, rebuke, reprimand, reproach, reprove, tick off","reprove, rebuke, reprimand, admonish, reproach, chide mean to criticize adversely

reprove implies an often kindly intent to correct a fault
gently reproved my table manners

rebuke suggests a sharp or stern reproof
the papal letter rebuked dissenting clerics

reprimand implies a severe, formal, often public or official rebuke
reprimanded by the ethics committee

admonish suggests earnest or friendly warning and counsel
admonished by my parents to control expenses

reproach and chide suggest displeasure or disappointment expressed in mild reproof or scolding
reproached him for tardiness

chided by their mother for untidiness",first,"reprove, rebuke, reprimand, admonish, reproach, chide mean to criticize adversely<br><br>reprove implies an often kindly intent to correct a fault<br>gently reproved my table manners<br><br>rebuke suggests a sharp or stern reproof<br>the papal letter rebuked dissenting clerics<br><br>reprimand implies a severe, formal, often public or official rebuke<br>reprimanded by the ethics committee<br><br>admonish suggests earnest or friendly warning and counsel<br>admonished by my parents to control expenses<br><br>reproach and chide suggest displeasure or disappointment expressed in mild reproof or scolding<br>reproached him for tardiness<br><br>chided by their mother for untidiness"
57,Chisel,to cut or work with or as if with a chisel,to employ shrewd or unfair practices on in order to obtain one's end,to work with or as if with a chisel,to employ shrewd or unfair practices,Oops! So Empty!,"beat, bilk, bleed, cheat, chouse, con, cozen, defraud, diddle, do, do in, euchre, fiddle, fleece, flimflam, gaff, hose 
[slang], hustle, mulct, nobble 
[British slang], pluck, ream, rip off, rook, screw, shake down, short, shortchange, skin, skunk, squeeze, stick, stiff, sting, sucker, swindle, thimblerig, victimize","beat, bilk, bleed, cheat, chouse, con, cozen, defraud, diddle, do, do in, euchre, fiddle, fleece, flimflam, gaff, hose 
[slang], hustle, mulct, nobble 
[British slang], pluck, ream, rip off, rook, screw, shake down, short, shortchange, skin, skunk, squeeze, stick, stiff, sting, sucker, swindle, thimblerig, victimize",Oops! So Empty!,third,Oops! So Empty!
58,Chivalry,"the system, spirit, or customs of medieval knighthood","the system, spirit, ways, or customs of knighthood",the qualities of the ideal knight,gallant or distinguished gentlemen,mounted men-at-arms,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,first,Oops! So Empty!
59,Coercion,"the act, process, or power of coercing",the use of express or implied threats of violence or reprisal (as discharge from employment) or other intimidating behavior that puts a person in immediate fear of the consequences in order to compel that person to act against his or her will,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"arm-twisting, compulsion, constraint, duress, force, pressure","arm-twisting, compulsion, constraint, duress, force, pressure",Oops! So Empty!,first,Oops! So Empty!
60,Colluding,to work together secretly especially in order to do something illegal or dishonest,to work with others secretly especially in order to do something illegal or dishonest,to agree or cooperate secretly for a fraudulent or otherwise illegal purpose,Oops! So Empty!,Oops! So Empty!,"compass, connive, conspire, contrive, intrigue, machinate, plot, put up, scheme","compass, connive, conspire, contrive, intrigue, machinate, plot, put up, scheme",Oops! So Empty!,third,Oops! So Empty!
61,Connoisseur,one who enjoys with discrimination and appreciation of subtleties,expert,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"cognoscente, dilettante 
[dated]","cognoscente, dilettante 
[dated]",Oops! So Empty!,first,Oops! So Empty!
62,Contortionist,one who contorts,a performer who twists his or her body into unusual positions,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,third,Oops! So Empty!
63,Contrite,feeling or showing sorrow and remorse for a sin or shortcoming,feeling or showing sorrow for having done something bad or wrong,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"apologetic, compunctious, penitent, regretful, remorseful, repentant, rueful, sorry","impenitent, remorseless, unapologetic, unrepentant",Oops! So Empty!,third,Oops! So Empty!
64,Curt,sparing of words,shortened in linear dimension,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"abrupt, bluff, blunt, brusque 
 (also brusk), crusty, downright, short, short-spoken, snippy, unceremonious","circuitous, mealymouthed","bluff, blunt, brusque, curt, crusty, gruff mean abrupt and unceremonious in speech and manner

bluff connotes good-natured outspokenness and unconventionality
a bluff manner

blunt suggests directness of expression in disregard of others' feelings
a blunt appraisal

brusque applies to a sharpness or ungraciousness
a brusque response

curt implies disconcerting shortness or rude conciseness
a curt command

crusty suggests a harsh or surly manner sometimes concealing an inner kindliness
a crusty exterior

gruff suggests a hoarse or husky speech which may imply bad temper but more often implies embarrassment or shyness
puts on a gruff pose",first,"bluff, blunt, brusque, curt, crusty, gruff mean abrupt and unceremonious in speech and manner<br><br>bluff connotes good-natured outspokenness and unconventionality<br>a bluff manner<br><br>blunt suggests directness of expression in disregard of others' feelings<br>a blunt appraisal<br><br>brusque applies to a sharpness or ungraciousness<br>a brusque response<br><br>curt implies disconcerting shortness or rude conciseness<br>a curt command<br><br>crusty suggests a harsh or surly manner sometimes concealing an inner kindliness<br>a crusty exterior<br><br>gruff suggests a hoarse or husky speech which may imply bad temper but more often implies embarrassment or shyness<br>puts on a gruff pose"
65,Cynicism,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,first,Oops! So Empty!
